study_word,test,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,TestText.started,textbox.started,submit_text.started,testmouse.started,test.stopped,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
mouse,,,,0,0,0,8,,,,,0.08853519998956472,,0.015803899965249002,0.08853519998956472,0.08853519998956472,2.041716800071299,1,1.9826493000146002,,,,,,,,,,,,,,,P01,001,2024-10-26_15h38.24.741,word priming,2024.1.5,None,2024-10-26 15h38.45.324657 +0530,
keys,,,,0,1,1,13,,,,,2.0835896000498906,,2.042727999971248,2.0835896000498906,2.0835896000498906,2.9271670000161976,1,0.8479788999538869,,,,,,,,,,,,,,,P01,001,2024-10-26_15h38.24.741,word priming,2024.1.5,None,2024-10-26 15h38.45.324657 +0530,
phone,,,,0,2,2,2,,,,,2.96219300001394,,2.927552300039679,2.96219300001394,2.96219300001394,4.128647000063211,1.8962962962962964,1.164132000063546,,,,,,,,,,,,,,,P01,001,2024-10-26_15h38.24.741,word priming,2024.1.5,None,2024-10-26 15h38.45.324657 +0530,
chart,,,,0,3,3,6,,,,,4.1698385999770835,,4.1293255999917164,4.1698385999770835,4.1698385999770835,6.378622199990787,4.859259259259259,2.206959499977529,,,,,,,,,,,,,,,P01,001,2024-10-26_15h38.24.741,word priming,2024.1.5,None,2024-10-26 15h38.45.324657 +0530,
laptop,,,,0,4,4,5,,,,,6.410375399980694,,6.379075600067154,6.410375399980694,6.410375399980694,8.524732399964705,3.037037037037037,2.1140211999882013,,,,,,,,,,,,,,,P01,001,2024-10-26_15h38.24.741,word priming,2024.1.5,None,2024-10-26 15h38.45.324657 +0530,
poster,,,,0,5,5,14,,,,,8.563266400014982,,8.525362999993376,8.563266400014982,8.563266400014982,9.62945370003581,1.7851851851851852,1.0654288000660017,,,,,,,,,,,,,,,P01,001,2024-10-26_15h38.24.741,word priming,2024.1.5,None,2024-10-26 15h38.45.324657 +0530,
case,,,,0,6,6,10,,,,,9.66697150003165,,9.630011799978092,9.66697150003165,9.66697150003165,11.011360200005583,1.0814814814814815,1.3445570999756455,,,,,,,,,,,,,,,P01,001,2024-10-26_15h38.24.741,word priming,2024.1.5,None,2024-10-26 15h38.45.324657 +0530,
cushion,,,,0,7,7,1,,,,,11.049272199976258,,11.01192419999279,11.049272199976258,11.049272199976258,11.782785500050522,1.0814814814814815,0.7376300001051277,,,,,,,,,,,,,,,P01,001,2024-10-26_15h38.24.741,word priming,2024.1.5,None,2024-10-26 15h38.45.324657 +0530,
book,,,,0,8,8,0,,,,,11.81650970003102,,11.783209200017154,11.81650970003102,11.81650970003102,14.800073300022632,1.0074074074074073,2.9716190999606624,,,,,,,,,,,,,,,P01,001,2024-10-26_15h38.24.741,word priming,2024.1.5,None,2024-10-26 15h38.45.324657 +0530,
board,,,,0,9,9,4,,,,,14.850605000043288,,14.800842400058173,14.850605000043288,14.850605000043288,15.634218799998052,1.0074074074074073,0.784378599957563,,,,,,,,,,,,,,,P01,001,2024-10-26_15h38.24.741,word priming,2024.1.5,None,2024-10-26 15h38.45.324657 +0530,
