study_word,test,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,TestText.started,textbox.started,submit_text.started,testmouse.started,test.stopped,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
pastry,,,,0,0,0,9,,,,,0.09701979998499155,,0.01684289996046573,0.09701979998499155,0.09701979998499155,2.852614799980074,1.9555555555555555,2.789567200001329,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
case,,,,0,1,1,10,,,,,2.896161900018342,,2.8546310999663547,2.896161900018342,2.896161900018342,4.192262299940921,1.9555555555555555,1.2932307999581099,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
marble,,,,0,2,2,3,,,,,4.239604900008999,,4.1931931000435725,4.239604900008999,4.239604900008999,8.176716599962674,4.955555555555556,3.932754800072871,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
poster,,,,0,3,3,14,,,,,8.225381199968979,,8.177620299975388,8.225381199968979,8.225381199968979,9.96490369993262,1,1.7413965999148786,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
cruise,,,,0,4,4,11,,,,,10.006226200028323,,9.965653299936093,10.006226200028323,10.006226200028323,11.032288899994455,1,1.0234767999500036,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
phone,,,,0,5,5,2,,,,,11.084638400003314,,11.032865999964997,11.084638400003314,11.084638400003314,11.910041800001636,1,0.8261820999905467,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
mouse,,,,0,6,6,8,,,,,11.941698799957521,,11.910469599999487,11.941698799957521,11.941698799957521,13.358093500020914,2.996296296296296,1.4181457000086084,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
cushion,,,,0,7,7,1,,,,,13.392736200010404,,13.358503099996597,13.392736200010404,13.392736200010404,14.780445599928498,1.988888888888889,1.3850556999677792,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
book,,,,0,8,8,0,,,,,14.825973100028932,,14.781191200017929,14.825973100028932,14.825973100028932,16.82770939997863,1,2.0050681999418885,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
T-shirt,,,,0,9,9,7,,,,,16.870496099931188,,16.828281300025992,16.870496099931188,16.870496099931188,17.692794600035995,1,0.819666999974288,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
keys,,,,0,10,10,13,,,,,17.733544699964114,,17.693470099940896,17.733544699964114,17.733544699964114,18.473486399976537,1,0.7374441999709234,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
board,,,,0,11,11,4,,,,,18.52339580003172,,18.47415090003051,18.52339580003172,18.52339580003172,19.305179900024086,1,0.7810791999800131,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
laptop,,,,0,12,12,5,,,,,19.347026400035247,,19.30586870003026,19.347026400035247,19.347026400035247,21.55201969994232,1.037037037037037,2.2018619999289513,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
police,,,,0,13,13,12,,,,,21.596020399942063,,21.552917500026524,21.596020399942063,21.596020399942063,23.370224899961613,3.9592592592592593,1.7764284999575466,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
chart,,,,0,14,14,6,,,,,23.413391400012188,,23.370804099948145,23.413391400012188,23.413391400012188,24.900584199931473,4.977777777777778,1.490342800039798,,,,,,,,,,,,,,,,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
,c_s_,case,old,,,,,0,0,0,5,24.946697099949233,,,,,,,,24.916617600014433,24.946697099949233,24.946697099949233,24.946697099949233,0.022088099969550967,31.078974699950777,CASE,"[0.05185185185185185, 0.03148148148148148]","[-0.3296296296296296, -0.29074074074074074]","[1, 1]","[0, 0]","[0, 0]","[5.370634500053711, 6.155115700094029]",['submit_text'],,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
,v_s_,vase,new,,,,,0,1,1,17,31.107635600026697,,,,,,,,31.08131979999598,31.107635600026697,31.107635600026697,31.107635600026697,0.009111199993640184,33.893055799999274,VASE,[0.03148148148148148],[-0.29074074074074074],[1],[0],[0],[2.802052199956961],['submit_text'],,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
,_ru_s_,cruise,old,,,,,0,2,2,6,33.91774710000027,,,,,,,,33.89451819995884,33.91774710000027,33.91774710000027,33.91774710000027,0.005705100018531084,39.09114649996627,CRUISE,[0.03148148148148148],[-0.28703703703703703],[1],[0],[0],[5.190282600000501],['submit_text'],,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
,ta_l_,table,new,,,,,0,3,3,15,39.116661399952136,,,,,,,,39.09309859992936,39.116661399952136,39.116661399952136,39.116661399952136,0.005997900036163628,45.12259239994455,TABLE,[-0.008333333333333333],[-0.30462962962962964],[1],[0],[0],[6.023152900044806],['submit_text'],,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
,_a_ble,marble,old,,,,,0,4,4,11,45.14893719996326,,,,,,,,45.12404379993677,45.14893719996326,45.14893719996326,45.14893719996326,0.0059016000013798475,48.85489730001427,MARBLE,[-0.008333333333333333],[-0.30462962962962964],[1],[0],[0],[3.72419799992349],['submit_text'],,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
,p_st_r,poster,old,,,,,0,5,5,9,48.88326639996376,,,,,,,,48.856362999998964,48.88326639996376,48.88326639996376,48.88326639996376,0.006465799990110099,52.73677319998387,POSTER,[-0.008333333333333333],[-0.30462962962962964],[1],[0],[0],[3.8730514999479055],['submit_text'],,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
,_ho_e,phone,old,,,,,0,6,6,12,52.75788419996388,,,,,,,,52.738203099928796,52.75788419996388,52.75788419996388,52.75788419996388,0.0044250000501051545,59.4015628999332,PHONE,[-0.012037037037037037],[-0.30185185185185187],[1],[0],[0],[6.6584471999667585],['submit_text'],,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
,p_li_e,police,old,,,,,0,7,7,7,59.42658169998322,,,,,,,,59.40362350002397,59.42658169998322,59.42658169998322,59.42658169998322,0.005384400021284819,63.369184499955736,POLICE,[-0.012037037037037037],[-0.30185185185185187],[1],[0],[0],[3.959467300097458],['submit_text'],,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
,k_y_,keys,old,,,,,0,8,8,8,63.39891320001334,,,,,,,,63.37083819997497,63.39891320001334,63.39891320001334,63.39891320001334,0.006169599946588278,66.68186230002902,KEYS,[-0.012037037037037037],[-0.30185185185185187],[0],[0],[1],[3.3041708999080583],['submit_text'],,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
,T_hi_t,Tshirt,old,,,,,0,9,9,2,66.71434349997435,,,,,,,,66.6836186000146,66.71434349997435,66.71434349997435,66.71434349997435,0.005464699934236705,71.4801768999314,TSHIRT,[-0.012037037037037037],[-0.30185185185185187],[1],[0],[0],[4.790461700060405],['submit_text'],,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
,bo_t_e,bottle,new,,,,,0,10,10,18,71.50528040004428,,,,,,,,71.48155489994679,71.50528040004428,71.50528040004428,71.50528040004428,0.004773400025442243,75.51312889996916,BOTTLE,[-0.012037037037037037],[-0.30185185185185187],[1],[0],[0],[4.026175000006333],['submit_text'],,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
,c_s_io_,cushion,old,,,,,0,11,11,14,75.54553410003427,,,,,,,,75.51474589994177,75.54553410003427,75.54553410003427,75.54553410003427,0.006576400017365813,82.0940676999744,CUSHION,[-0.012037037037037037],[-0.30185185185185187],[1],[0],[0],[6.572066999971867],['submit_text'],,P03,001,2024-10-26_15h34.22.379,word priming,2024.1.5,None,2024-10-26 15h34.51.749232 +0530,
