staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0341736,,0.0224945,0.0341736,0.5718725,0.5718725,0.5992655,0.8845342,1.5412212,left,,-10,1,1,0.7747046,100 trials,1,2024-09-09_11h43.21.737,adaptive staircase,2024.1.5,None,2024-09-09 11h43.40.842010 +0530
1,2,8,1.5488175,,1.5413843,1.5488175,2.0504651,2.0504651,2.0504651,2.3504488,2.5078561,left,,-8,1,1,0.4474746,100 trials,1,2024-09-09_11h43.21.737,adaptive staircase,2024.1.5,None,2024-09-09 11h43.40.842010 +0530
2,2,6,2.5174588,,2.5080327,2.5174588,3.0168888,3.0168888,3.0168888,3.3167134,3.4577987,left,,-6,1,1,0.4231159,100 trials,1,2024-09-09_11h43.21.737,adaptive staircase,2024.1.5,None,2024-09-09 11h43.40.842010 +0530
3,2,4,3.4666609,,3.4579518,3.4666609,3.9664379,3.9664379,3.9664379,4.2661543,4.4238505,right,,4,1,1,0.4536479,100 trials,1,2024-09-09_11h43.21.737,adaptive staircase,2024.1.5,None,2024-09-09 11h43.40.842010 +0530
4,2,2,4.4331586,,4.4240041,4.4331586,4.9330073,4.9330073,4.9330073,5.2327924,5.6738789,left,,-2,1,1,0.7308939,100 trials,1,2024-09-09_11h43.21.737,adaptive staircase,2024.1.5,None,2024-09-09 11h43.40.842010 +0530
5,1,1,5.682196,,5.6740139,5.682196,6.1824609,6.1824609,6.1824609,6.4827086,7.023155,right,,1,0,0,0.8332756,100 trials,1,2024-09-09_11h43.21.737,adaptive staircase,2024.1.5,None,2024-09-09 11h43.40.842010 +0530
6,1,2,7.0318516,,7.0232912,7.0318516,7.5318772,7.5318772,7.5318772,7.8316042,8.2894132,left,,-2,1,1,0.7531114,100 trials,1,2024-09-09_11h43.21.737,adaptive staircase,2024.1.5,None,2024-09-09 11h43.40.842010 +0530
7,1,2,8.2982866,,8.2895434,8.2982866,8.79831,8.79831,8.79831,9.098228,9.3554931,right,,2,1,1,0.5450026,100 trials,1,2024-09-09_11h43.21.737,adaptive staircase,2024.1.5,None,2024-09-09 11h43.40.842010 +0530
8,1,2,9.3645885,,9.3556788,9.3645885,9.8649539,9.8649539,9.8649539,10.1649896,10.5215793,left,,-2,1,1,0.6401194,100 trials,1,2024-09-09_11h43.21.737,adaptive staircase,2024.1.5,None,2024-09-09 11h43.40.842010 +0530
9,1,1,10.5312738,,10.5217164,10.5312738,11.0308403,11.0308403,11.0308403,11.3307516,11.5548087,right,,1,1,1,0.5099713,100 trials,1,2024-09-09_11h43.21.737,adaptive staircase,2024.1.5,None,2024-09-09 11h43.40.842010 +0530
