trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.05619000003207475,,0.006769599975086749,10,0.05619000003207475,0.05619000003207475,0.043884099926799536,1.480919299996458,[-0.2638888888888889],[0.32314814814814813],[1],[0],[0],[1.4364100999664515],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
1,0,1,0,1.523822500021197,,1.4843148000072688,10,1.523822500021197,1.523822500021197,0.027900999994017184,2.963449800037779,[-0.21666666666666667],[0.24166666666666667],[1],[0],[0],[1.4514611999038607],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
2,0,2,0,3.003691800055094,,2.966196099994704,10,3.003691800055094,3.003691800055094,0.02660510002169758,4.713531299959868,[-0.44814814814814813],[-0.18796296296296297],[1],[0],[0],[1.7210029000416398],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
3,0,3,0,4.736845699953847,,4.716174199944362,5,4.736845699953847,4.736845699953847,0.013821700005792081,6.7969761999556795,[-0.04259259259259259],[-0.3907407407407407],[1],[0],[0],[2.0671992999268696],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
4,0,4,0,6.838743499945849,,6.799699599971063,10,6.838743499945849,6.838743499945849,0.028449099976569414,8.478653899976052,[-0.044444444444444446],[-0.46296296296296297],[1],[0],[0],[1.6507475998951122],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
5,0,5,0,8.521496800007299,,8.48155859997496,10,8.521496800007299,8.521496800007299,0.02891639992594719,11.478172500035726,[0.28055555555555556],[-0.4398148148148148],[1],[0],[0],[2.9678488000063226],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
6,0,6,0,11.501337599940598,,11.480771900038235,5,11.501337599940598,11.501337599940598,0.01351229997817427,13.193821599939838,[-0.4398148148148148],[-0.31851851851851853],[1],[0],[0],[1.6997292999876663],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
7,0,7,0,13.219432599958964,,13.196815000032075,5,13.219432599958964,13.219432599958964,0.015187899931333959,14.49409489997197,[-0.4564814814814815],[-0.45185185185185184],[1],[0],[0],[1.282337800017558],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
8,0,8,0,14.522406999953091,,14.497591799939983,5,14.522406999953091,14.522406999953091,0.017671599984169006,15.943372800014913,[-0.005555555555555556],[0.1675925925925926],[1],[0],[0],[1.4285168000496924],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
9,0,9,0,15.985834300052375,,15.946581399999559,10,15.985834300052375,15.985834300052375,0.028093300061300397,17.359478099970147,[-0.25277777777777777],[0.44537037037037036],[1],[0],[0],[1.3851114000426605],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
10,0,10,0,17.383222899981774,,17.362206500023603,5,17.383222899981774,17.383222899981774,0.013820599997416139,18.74261670000851,[-0.32685185185185184],[-0.1],[1],[0],[0],[1.3667701999656856],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
11,0,11,0,18.769144000019878,,18.745543999946676,5,18.769144000019878,18.769144000019878,0.01565780001692474,20.625307100010104,[-0.21296296296296297],[0.45740740740740743],[1],[0],[0],[1.8639685000525787],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
12,0,12,0,20.655925099970773,,20.629369599977508,5,20.655925099970773,20.655925099970773,0.01860340009443462,22.558018499985337,[0.3861111111111111],[0.17685185185185184],[1],[0],[0],[1.9105170000111684],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
13,0,13,0,22.60042369994335,,22.56110000004992,10,22.60042369994335,22.60042369994335,0.027705200016498566,24.973935100017115,[-0.31203703703703706],[0.41944444444444445],[1],[0],[0],[2.3854193000588566],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
14,0,14,0,25.01506290002726,,24.97646429995075,10,25.01506290002726,25.01506290002726,0.02605809993110597,26.05713490000926,[-0.2518518518518518],[0.4759259259259259],[1],[0],[0],[1.0547996000386775],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
15,0,15,0,26.098540500039235,,26.05970119999256,10,26.098540500039235,26.098540500039235,0.026084700017236173,27.23989069997333,[-0.2101851851851852],[0.4444444444444444],[1],[0],[0],[1.1542265999596566],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
16,0,16,0,27.264699700055644,,27.242610699962825,5,27.264699700055644,27.264699700055644,0.014280600007623434,30.072114299982786,[-0.07222222222222222],[-0.2564814814814815],[1],[0],[0],[2.815473699942231],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
17,0,17,0,30.11704899999313,,30.075420600012876,10,30.11704899999313,30.11704899999313,0.029314100043848157,32.63846489996649,[0.42777777777777776],[-0.34444444444444444],[1],[0],[0],[2.5341360999736935],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
18,0,18,0,32.66393999999855,,32.64099049998913,5,32.66393999999855,32.66393999999855,0.015205099945887923,34.90442269993946,[0.3824074074074074],[-0.4537037037037037],[1],[0],[0],[2.2484761000378057],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
19,0,19,0,34.93058839999139,,34.90731339994818,5,34.93058839999139,34.93058839999139,0.015465299948118627,37.03631909994874,[-0.007407407407407408],[-0.08518518518518518],[1],[0],[0],[2.113815899938345],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
20,0,20,0,37.07695410004817,,37.039234500029124,10,37.07695410004817,37.07695410004817,0.026471500052139163,38.85265120002441,[-0.2972222222222222],[-0.125],[1],[0],[0],[1.78726079990156],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
21,0,21,0,38.89258760004304,,38.855190700036474,10,38.89258760004304,38.89258760004304,0.025936099933460355,40.26899589993991,[-0.11018518518518519],[0.30277777777777776],[1],[0],[0],[1.3880395999876782],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
22,0,22,0,40.293252200004645,,40.27168190001976,5,40.293252200004645,40.293252200004645,0.013869500020518899,41.13508489995729,[-0.14629629629629629],[0.2777777777777778],[1],[0],[0],[0.849655699916184],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
23,0,23,0,41.1623544000322,,41.13836069998797,5,41.1623544000322,41.1623544000322,0.01594039995688945,42.70154979999643,[0.22592592592592592],[-0.19444444444444445],[1],[0],[0],[1.5475096999434754],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
24,0,24,0,42.74447599996347,,42.70451950002462,10,42.74447599996347,42.74447599996347,0.027154300012625754,44.151000599958934,[-0.21944444444444444],[-0.08611111111111111],[1],[0],[0],[1.419663600041531],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
