delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep_sound.started,sound_1.started,sound_1.stopped,beep_sound.stopped,responses.started,display_text.started,textbox.started,button.started,responses.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart
0.4,1000,exp,0,1,1,10,10.371416,,10.3595369,10.371416,11.3716271,11.3716271,11.3716271,11.7074439,space,0.3332687,None,11.7088938,12.12094417,12.454251,12.4252668,12.4253311,12.454251,12.454251,12.454251,18.3054548,200,1,[5.877118700009305],[5.87713090001489],final,1,2024-11-11_11h13.11.595,Intentional binding,2024.1.5,None,2024-11-11 11h13.27.939400 +0530
0.7,1000,exp,0,2,2,11,18.3190414,,18.3069379,18.3190414,19.3191547,19.3191547,19.3191547,20.2038252,space,0.8726323,None,20.2053451,20.91860427,21.2408091,21.2149781,21.215028,21.2408091,21.2408091,21.2408091,25.4023141,400,1,[4.184227499994449],[4.184241100010695],final,1,2024-11-11_11h13.11.595,Intentional binding,2024.1.5,None,2024-11-11 11h13.27.939400 +0530
0.1,1000,exp,0,3,3,6,25.4168078,,25.4038838,25.4168078,26.4167605,26.4167605,26.4167605,28.5015375,space,2.0759634,None,28.5028075,28.61597557,28.9460128,28.9157602,28.9158352,28.9460128,28.9460128,28.9460128,31.5169257,300,1,[2.5979554999794345],[2.5979701999749523],final,1,2024-11-11_11h13.11.595,Intentional binding,2024.1.5,None,2024-11-11 11h13.27.939400 +0530
0.7,1000,exp,0,4,4,8,31.5315315,,31.5184223,31.5315315,32.5315888,32.5315888,32.5315888,34.564745,space,2.0165087,None,34.5657311,35.27989437,35.5980533,35.5746802,35.5747164,35.5980533,35.5980533,35.5980533,47.8284032,100,1,[12.251361900009215],[12.251376100000925],final,1,2024-11-11_11h13.11.595,Intentional binding,2024.1.5,None,2024-11-11 11h13.27.939400 +0530
0.4,1000,exp,0,5,5,4,47.842618,,47.8298421,47.842618,48.8425115,48.8425115,48.8425115,50.8451414,space,2.0000412,None,50.8464011,51.25852627,51.5857916,51.5549084,51.5549816,51.5857916,51.5857916,51.5857916,55.4589528,200,1,[3.900656399986474],[3.9006712999835145],final,1,2024-11-11_11h13.11.595,Intentional binding,2024.1.5,None,2024-11-11 11h13.27.939400 +0530
0.1,1000,exp,0,6,6,3,55.4737609,,55.4604241,55.4737609,56.4734129,56.4734129,56.4734129,57.7084718,space,1.2273335,None,57.7097524,57.82297267,58.1558367,58.1253254,58.1253887,58.1558367,58.1558367,58.1558367,61.6571989,80,1,[3.5286365000065416],[3.5286515000043437],final,1,2024-11-11_11h13.11.595,Intentional binding,2024.1.5,None,2024-11-11 11h13.27.939400 +0530
0.1,1000,exp,0,7,7,9,61.6716137,,61.65878,61.6716137,62.6715331,62.6715331,62.6715331,63.0569878,space,0.3716262,None,63.0582365,63.17100137,63.5061059,63.4754075,63.4754842,63.5061059,63.5061059,63.5061059,70.2379682,300,1,[6.759137799992459],[6.7591537999978755],final,1,2024-11-11_11h13.11.595,Intentional binding,2024.1.5,None,2024-11-11 11h13.27.939400 +0530
0.7,1000,exp,0,9,9,5,79.2324957,,79.2192973,79.2324957,80.2322499,80.2322499,80.2322499,81.0671861,space,0.8298799,None,81.0684992,81.78146087,82.1175165,82.0855963,82.0856782,82.1175165,82.1175165,82.1175165,85.5327798,900,1,[3.4437104999960866],[3.4437260999984574],final,1,2024-11-11_11h13.11.595,Intentional binding,2024.1.5,None,2024-11-11 11h13.27.939400 +0530
0.4,1000,exp,0,11,11,7,92.893977,,92.8806823,92.893977,93.8935347,93.8935347,93.8935347,97.4618469,space,3.5567333,None,97.463092,97.87632407,98.2072791,98.1752938,98.1753812,98.2072791,98.2072791,98.2072791,101.4107484,500,1,[3.2317275000095833],[3.2317437999881804],final,1,2024-11-11_11h13.11.595,Intentional binding,2024.1.5,None,2024-11-11 11h13.27.939400 +0530
0.7,1000,exp,1,0,12,8,101.4248682,,101.4122046,101.4248682,102.4246867,102.4246867,102.4246867,108.0256445,space,5.5878124,None,108.0269144,108.7391881,109.0681083,109.0351096,109.0351741,109.0681083,109.0681083,109.0681083,113.80643,200,1,[4.767541200009873],[4.767555800004629],final,1,2024-11-11_11h13.11.595,Intentional binding,2024.1.5,None,2024-11-11 11h13.27.939400 +0530
