trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.034880699939094484,,0.005892499932087958,5,0.034880699939094484,0.034880699939094484,0.025376199977472425,2.035002499935217,[-0.14629629629629629],[-0.15],[1],[0],[0],[2.0086146999383345],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
1,0,1,0,2.065696300007403,,2.0402847999939695,5,2.065696300007403,2.065696300007403,0.018153200042434037,4.964961100020446,[0.023148148148148147],[0.49722222222222223],[1],[0],[0],[2.906941600027494],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
2,0,2,0,4.9913229999365285,,4.968168999999762,5,4.9913229999365285,4.9913229999365285,0.016369599965400994,6.780847499961965,[0.1287037037037037],[-0.21203703703703702],[1],[0],[0],[1.7966722999699414],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
3,0,3,0,6.808635800029151,,6.784210999961942,5,6.808635800029151,6.808635800029151,0.017292600008659065,8.130492400028743,[0.000925925925925926],[-0.07962962962962963],[1],[0],[0],[1.3293010999914259],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
4,0,4,0,8.172925799968652,,8.133171899942681,10,8.172925799968652,8.172925799968652,0.0259991999482736,9.679937699926086,[-0.2712962962962963],[0.004629629629629629],[1],[0],[0],[1.5209573999745771],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
5,0,5,0,9.704536300036125,,9.682793500018306,5,9.704536300036125,9.704536300036125,0.01409170008264482,11.329282899969257,[0.20185185185185187],[0.02962962962962963],[1],[0],[0],[1.632650600047782],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
6,0,6,0,11.354661999968812,,11.332170499954373,5,11.354661999968812,11.354661999968812,0.015272699994966388,13.04616020002868,[-0.3472222222222222],[0.29444444444444445],[1],[0],[0],[1.6989915000740439],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
7,0,7,0,13.070387199986726,,13.048876999993809,5,13.070387199986726,13.070387199986726,0.014101199922151864,14.661833000020124,[0.412962962962963],[-0.025925925925925925],[1],[0],[0],[1.5990788999479264],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
8,0,8,0,14.704111799946986,,14.665054099983536,10,14.704111799946986,14.704111799946986,0.027963100001215935,16.94470899994485,[-0.12407407407407407],[0.46944444444444444],[1],[0],[0],[2.2520448999712244],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
9,0,9,0,16.98575939994771,,16.947258800035343,10,16.98575939994771,16.98575939994771,0.02670610009226948,18.577388599980623,[-0.2175925925925926],[-0.39537037037037037],[1],[0],[0],[1.6036205000709742],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
