pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line_2.started,line_3.started,line_4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,random_2.started,fixation2.started,line11.started,line22.started,line33.started,line44.started,fixation2.stopped,probe2.started,key_resp_2.started,random_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
-50,x,0,0,0,0,,,,,0.0455995,,0.0391334,0.0455995,1.0029102,1.0029102,1.0029102,1.0029102,1.0529238,2.0028143,2.0028143,2.8625024,x,1,0.7494745,None,,,,,,,,,,,,,,,I,1,2024-10-17_16h49.22.519,Motor  sequence learning,2024.1.5,None,2024-10-17 16h49.57.031103 +0530
150,v,0,1,1,1,,,,,2.8707803,,2.8653896,2.8707803,3.8689811,3.8689811,3.8689811,3.8689811,3.8856327,4.8683535,4.8683535,5.8870316,v,1,1.0006645,None,,,,,,,,,,,,,,,I,1,2024-10-17_16h49.22.519,Motor  sequence learning,2024.1.5,None,2024-10-17 16h49.57.031103 +0530
50,c,0,2,2,2,,,,,5.901525,,5.8888867,5.901525,6.9011886,6.9011886,6.9011886,6.9011886,6.9011886,7.9010554,7.9010554,8.8347286,c,1,0.9171926,None,,,,,,,,,,,,,,,I,1,2024-10-17_16h49.22.519,Motor  sequence learning,2024.1.5,None,2024-10-17 16h49.57.031103 +0530
-150,z,0,3,3,3,,,,,8.8502305,,8.8367005,8.8502305,9.8499412,9.8499412,9.8499412,9.8499412,9.8499412,10.8497465,10.8497465,11.1507987,z,1,0.289557,None,,,,,,,,,,,,,,,I,1,2024-10-17_16h49.22.519,Motor  sequence learning,2024.1.5,None,2024-10-17 16h49.57.031103 +0530
-50,x,1,0,4,0,,,,,11.1662333,,11.1523347,11.1662333,12.1658376,12.1658376,12.1658376,12.1658376,12.1658376,13.165519,13.165519,13.5165852,x,1,0.3389168,None,,,,,,,,,,,,,,,I,1,2024-10-17_16h49.22.519,Motor  sequence learning,2024.1.5,None,2024-10-17 16h49.57.031103 +0530
150,v,1,1,5,1,,,,,13.5319805,,13.5184783,13.5319805,14.5316571,14.5316571,14.5316571,14.5316571,14.5316571,15.5314807,15.5314807,16.2491413,v,1,0.705721,None,,,,,,,,,,,,,,,I,1,2024-10-17_16h49.22.519,Motor  sequence learning,2024.1.5,None,2024-10-17 16h49.57.031103 +0530
50,c,1,2,6,2,,,,,16.2644737,,16.2508452,16.2644737,17.2642034,17.2642034,17.2642034,17.2642034,17.2642034,18.2638225,18.2638225,18.6987364,c,1,0.4233543,None,,,,,,,,,,,,,,,I,1,2024-10-17_16h49.22.519,Motor  sequence learning,2024.1.5,None,2024-10-17 16h49.57.031103 +0530
-150,z,1,3,7,3,,,,,18.7136729,,18.7012359,18.7136729,19.7134173,19.7134173,19.7134173,19.7134173,19.7134173,20.7129295,20.7129295,21.0139983,z,1,0.2968102,None,,,,,,,,,,,,,,,I,1,2024-10-17_16h49.22.519,Motor  sequence learning,2024.1.5,None,2024-10-17 16h49.57.031103 +0530
-50,x,2,0,8,0,,,,,21.0294546,,21.0155133,21.0294546,22.0291946,22.0291946,22.0291946,22.0291946,22.0291946,23.0290844,23.0290844,23.3804045,x,1,0.3364003,None,,,,,,,,,,,,,,,I,1,2024-10-17_16h49.22.519,Motor  sequence learning,2024.1.5,None,2024-10-17 16h49.57.031103 +0530
150,v,2,1,9,1,,,,,23.3955122,,23.3821176,23.3955122,24.3953757,24.3953757,24.3953757,24.3953757,24.3953757,25.3947949,25.3947949,25.8797806,v,1,0.4738023,None,,,,,,,,,,,,,,,I,1,2024-10-17_16h49.22.519,Motor  sequence learning,2024.1.5,None,2024-10-17 16h49.57.031103 +0530
