stimulus,word_type,valence,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,stimuli.started,key_resp_2.started,fixation.stopped,trial.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0024945000004663598,0.00696099999913713,0.00696099999913713,2.8362572000005457,space,2.8159532000008767,None,,,,,,,,,,,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Hope,word,positive,w,0,0,0,9,2.874870600000577,,,,,,,,,2.863270599998941,2.874870600000577,3.843417500000214,3.843417500000214,3.876527399999759,4.578045899999779,w,1,0.719469300000128,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Chair,word,neutral,w,0,1,1,22,4.595907499999157,,,,,,,,,4.579862299999149,4.595907499999157,5.592849299999216,5.592849299999216,5.609325800000079,6.128394299999854,w,1,0.5186451000008674,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Plant,word,neutral,w,0,2,2,27,6.143086599999151,,,,,,,,,6.129835100000491,6.143086599999151,7.142243799999051,7.142243799999051,7.142243799999051,7.560958500000197,w,1,0.4028417999998055,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Frienship,word,positive,w,0,3,3,8,7.5785727000002225,,,,,,,,,7.5622934000002715,7.5785727000002225,8.575493199999983,8.575493199999983,8.592158800000107,9.02713279999989,w,1,0.4350278999991133,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Happy,word,positive,w,0,4,4,0,9.042275899999368,,,,,,,,,9.028442499999073,9.042275899999368,10.041815999999017,10.041815999999017,10.041815999999017,10.677172800000335,w,1,0.6222397000001365,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Fear,word,negative,w,0,5,5,12,10.691404499999408,,,,,,,,,10.678496799999266,10.691404499999408,11.69139229999928,11.69139229999928,11.69139229999928,12.05959520000033,w,1,0.3511164999999892,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Death,word,negative,w,0,6,6,13,12.078706700000112,,,,,,,,,12.06136669999978,12.078706700000112,13.07412149999982,13.07412149999982,13.090917399998943,13.459594399999332,w,1,0.37333330000001297,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Zart,non-word,neutral,n,0,7,7,34,13.480935600000521,,,,,,,,,13.461199600000327,13.480935600000521,14.473411599999963,14.473411599999963,14.49003570000059,14.825589599999148,w,0,0.3503134000002319,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Loss,word,negative,w,0,8,8,16,14.839890999999625,,,,,,,,,14.826663399999234,14.839890999999625,15.839890600000217,15.839890600000217,15.839890600000217,16.44209140000021,w,1,0.5962716000012733,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Lamp,word,neutral,w,0,9,9,23,16.459218699999838,,,,,,,,,16.443702500000654,16.459218699999838,17.456103399999847,17.456103399999847,17.47275230000014,18.02467710000019,n,0,0.5596636000009312,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Glirn,non-word,neutral,n,0,10,10,33,18.045988300000317,,,,,,,,,18.0264817999996,18.045988300000317,19.03894609999952,19.03894609999952,19.055407199999536,19.373890299999402,w,0,0.32657599999947706,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Blurf,non-word,neutral,n,0,11,11,31,19.392202999999427,,,,,,,,,19.37535620000017,19.392202999999427,20.3885451999995,20.3885451999995,20.404918399999588,20.906931699999404,w,0,0.5048409999999421,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Clock,word,neutral,w,0,12,12,28,20.925379000000248,,,,,,,,,20.908711899999616,20.925379000000248,21.921227999999246,21.921227999999246,21.93789470000047,22.45641179999984,w,1,0.5201357999994798,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Window,word,neutral,w,0,13,13,24,22.47272829999929,,,,,,,,,22.45841389999987,22.47272829999929,23.470254699999714,23.470254699999714,23.487120300000242,23.872354299999643,w,1,0.38540719999946305,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Cry,word,negative,w,0,14,14,17,23.889973199999076,,,,,,,,,23.87418719999914,23.889973199999076,24.88699280000037,24.88699280000037,24.90332699999999,25.355038699999568,w,1,0.4617467999996734,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Pain,word,negative,w,0,15,15,15,25.369819600000483,,,,,,,,,25.356371500000023,25.369819600000483,26.36956839999948,26.36956839999948,26.36956839999948,26.82105799999954,w,1,0.4483223999995971,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Peace,word,positive,w,0,16,16,5,26.83585040000071,,,,,,,,,26.822104200000467,26.83585040000071,27.835664700000052,27.835664700000052,27.835664700000052,28.437507599999662,w,1,0.5988027999992482,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Sad,word,negative,w,0,17,17,10,28.456501799999387,,,,,,,,,28.439762500000143,28.456501799999387,29.451833200000692,29.451833200000692,29.468454300000303,29.80348740000045,w,1,0.34127129999978933,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Plonk,non-word,neutral,n,0,18,18,36,29.81826220000039,,,,,,,,,29.804888700000447,29.81826220000039,30.81806680000045,30.81806680000045,30.81806680000045,31.21975089999978,w,0,0.39466909999828204,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Quimf,non-word,neutral,n,0,19,19,35,31.238062299999,,,,,,,,,31.22116029999961,31.238062299999,32.23435699999936,32.23435699999936,32.25092109999969,32.685950400000365,w,0,0.4343859999989945,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Grief,word,negative,w,0,20,20,19,32.702129199999035,,,,,,,,,32.68779539999923,32.702129199999035,33.700297899998986,33.700297899998986,33.71704479999971,33.86904709999908,n,0,0.16175490000023274,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Love,word,positive,w,0,21,21,2,33.88922249999996,,,,,,,,,33.870493700000225,33.88922249999996,34.88305489999948,34.88305489999948,34.899692400000276,35.518433999999615,w,1,0.6196975000002567,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Door,word,neutral,w,0,22,22,25,35.53492600000027,,,,,,,,,35.52027799999996,35.53492600000027,36.5330028999997,36.5330028999997,36.54915489999985,37.001017700000375,w,1,0.4569682000001194,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Paper,word,neutral,w,0,23,23,29,37.01841860000059,,,,,,,,,37.0033839000007,37.01841860000059,38.01581450000049,38.01581450000049,38.0323544999992,38.40063349999946,w,1,0.36835360000077344,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Bright,word,positive,w,0,24,24,7,38.41723099999945,,,,,,,,,38.402341299999534,38.41723099999945,39.41510519999974,39.41510519999974,39.43191879999904,39.76924490000056,w,1,0.3492279000001872,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Anger,word,negative,w,0,25,25,11,39.78759119999995,,,,,,,,,39.77070140000069,39.78759119999995,40.78124410000055,40.78124410000055,40.79816600000049,41.19960759999958,w,1,0.41088889999991807,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
Trouble,word,negative,w,0,26,26,18,41.21522030000051,,,,,,,,,41.20093409999936,41.21522030000051,42.21430519999922,42.21430519999922,42.23095149999972,42.71607849999964,w,1,0.49283680000007735,None,p3,001,2024-11-30_18h18.25.611,lexical decision,2024.1.5,None,2024-11-30 18h19.34.464818 +0530,
