trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.031600600108504295,,0.004571800003759563,5,0.031600600108504295,0.031600600108504295,0.02308650000486523,2.276178600033745,[-0.09351851851851851],[-0.26851851851851855],[1],[0],[0],[2.25249789992813],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
1,0,1,0,2.3020462000276893,,2.2797426000470296,5,2.3020462000276893,2.3020462000276893,0.015266899950802326,5.208724800031632,[-0.4925925925925926],[0.44814814814814813],[1],[0],[0],[2.914037700043991],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
2,0,2,0,5.250938600045629,,5.211394200101495,10,5.250938600045629,5.250938600045629,0.02754170005209744,6.641453000018373,[0.05555555555555555],[0.4287037037037037],[1],[0],[0],[1.4027184000005946],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
3,0,3,0,6.66534840001259,,6.644123800098896,5,6.66534840001259,6.66534840001259,0.013968100072816014,8.124420500011183,[0.13518518518518519],[0.03333333333333333],[1],[0],[0],[1.4665028000017628],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
4,0,4,0,8.150182300014421,,8.127418900025077,5,8.150182300014421,8.150182300014421,0.01582039997447282,9.574805200099945,[0.1175925925925926],[0.4351851851851852],[1],[0],[0],[1.4316688000690192],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
5,0,5,0,9.62076600000728,,9.579504500026815,10,9.62076600000728,9.62076600000728,0.03081020002719015,11.906572400010191,[-0.4564814814814815],[-0.27870370370370373],[1],[0],[0],[2.2968091999646276],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
6,0,6,0,11.931129700038582,,11.909207200049423,5,11.931129700038582,11.931129700038582,0.014267400023527443,13.406677799997851,[-0.03981481481481482],[0.15925925925925927],[1],[0],[0],[1.48339000006672],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
7,0,7,0,13.44885200005956,,13.409194400068372,10,13.44885200005956,13.44885200005956,0.027235500048846006,14.989295200095512,[0.4740740740740741],[0.287962962962963],[1],[0],[0],[1.5530384000157937],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
8,0,8,0,15.013799100066535,,14.991854000021704,5,15.013799100066535,15.013799100066535,0.014036600012332201,16.47259490005672,[-0.2574074074074074],[0.18333333333333332],[1],[0],[0],[1.4669163000071421],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
9,0,9,0,16.499373300001025,,16.47625200008042,5,16.499373300001025,16.499373300001025,0.01520280004478991,18.02173080004286,[-0.28055555555555556],[0.01574074074074074],[1],[0],[0],[1.5308374000014737],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
10,0,10,0,18.064034500042908,,18.025575500098057,10,18.064034500042908,18.064034500042908,0.027797600021585822,20.55469240003731,[-0.3472222222222222],[0.07962962962962963],[1],[0],[0],[2.5016045999946073],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
11,0,11,0,20.578674200107343,,20.557194799999706,5,20.578674200107343,20.578674200107343,0.014077199972234666,22.620613900013268,[-0.36666666666666664],[-0.1037037037037037],[1],[0],[0],[2.0495003999676555],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
12,0,12,0,22.664095800020732,,22.624332200037315,10,22.664095800020732,22.664095800020732,0.02849420008715242,25.18585480004549,[-0.11944444444444445],[-0.25092592592592594],[1],[0],[0],[2.533413000055589],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
