trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04541440005414188,,0.004185000085271895,10,0.04541440005414188,0.04541440005414188,0.033354499959386885,1.6649301000870764,[0.06944444444444445],[0.16574074074074074],[1],[0],[0],[1.6309959000209346],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
1,0,1,0,1.6905661000637338,,1.6683963000541553,5,1.6905661000637338,1.6905661000637338,0.014397899969480932,3.014151900075376,[0.14907407407407408],[-0.03518518518518519],[1],[0],[0],[1.3315016000997275],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
2,0,2,0,3.042128000059165,,3.0178582000080496,5,3.042128000059165,3.042128000059165,0.01716130005661398,4.646420500008389,[0.27870370370370373],[0.08333333333333333],[1],[0],[0],[1.6119322000304237],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
3,0,3,0,4.671191000030376,,4.649440300068818,5,4.671191000030376,4.671191000030376,0.015131100080907345,6.246550600044429,[-0.16203703703703703],[0.26851851851851855],[1],[0],[0],[1.5822457000613213],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
4,0,4,0,6.2709596999920905,,6.2494493999984115,5,6.2709596999920905,6.2709596999920905,0.014407399925403297,7.812632400076836,[0.31851851851851853],[-0.33611111111111114],[1],[0],[0],[1.549081200035289],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
5,0,5,0,7.840673600090668,,7.815698700025678,5,7.840673600090668,7.840673600090668,0.017584000015631318,9.695708299987018,[0.35555555555555557],[0.42407407407407405],[1],[0],[0],[1.8629133000504225],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
6,0,6,0,9.73960700002499,,9.699302399996668,10,9.73960700002499,9.73960700002499,0.02958189998753369,11.662106000003405,[0.3148148148148148],[-0.22037037037037038],[1],[0],[0],[1.9335791999474168],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
7,0,7,0,11.705102500040084,,11.665005500079133,10,11.705102500040084,11.705102500040084,0.02841859997715801,15.26162420003675,[-0.032407407407407406],[0.5],[1],[0],[0],[3.568326999899],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
8,0,8,0,15.285866499994881,,15.264373900019564,5,15.285866499994881,15.285866499994881,0.014018699992448092,17.81075589999091,[0.07962962962962963],[0.06388888888888888],[1],[0],[0],[2.5325557999312878],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
9,0,9,0,17.836250900058076,,17.814195499988273,5,17.836250900058076,17.836250900058076,0.014917999971657991,19.225820600055158,[-0.014814814814814815],[-0.07777777777777778],[1],[0],[0],[1.3971161000663415],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
